Designator,Mid X,Mid Y,Rotation,Layer
D1,55.5,-56.25,0.0,top
F1,54.25,-52.5,270.0,top
J1,61.5,-49.5,180.0,top
J2,61.5,-61.11,0.0,top
R1,67.0,-56.0,270.0,top
R2,68.5,-56.0,270.0,top
U1,61.5,-55.7,0.0,top
